id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
194089,2903,Warframe,"They were called Tenno. Warriors of blade and gun: masters of the Warframe armor. Those that survived the old war were left drifting among the ruins. Now they are needed once more.

The Grineer, with their vast armies, are spreading throughout the solar system. A call echoes across the stars summoning the Tenno to an ancient place. They summon you.

Allow the Lotus to guide you. She has rescued you from your cryostasis chamber and given you a chance to survive. The Grineer will find you; you must be prepared. The Lotus will teach you the ways of the Warframes and the secrets to unlocking their powers.

Come Tenno, you must join the war.",2013-03-25 00:00:00.000,94,NULL,73.4545,13,76.2323,248
110604,174982,Warframe Mobile,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
146637,198689,Warframe: Angels of the Zariman,NULL,2022-04-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
146627,223706,Warframe: Angels of the Zariman - Chrysalith Pack,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
146641,223707,Warframe: Angels of the Zariman - Emergence Pack,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
190321,202145,Warframe: Archwing,NULL,2014-10-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
190317,198622,Warframe: Call of the Tempestarii,NULL,2021-04-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
190855,198495,Warframe: Chains of Harrow,NULL,2017-06-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
191111,201158,Warframe: Dark Sectors,NULL,2014-04-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
163223,198336,Warframe: Echoes of the Sentient,NULL,2015-07-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
193335,119348,Warframe: Empyrean,NULL,2019-12-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
190844,111285,Warframe: Fortuna,"Welcome to Fortuna. Explore the frigid landscape of Venus populated with new Corpus threats, subterranean mysteries and an ecosystem on the brink of destruction.",2018-11-08 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
191065,137295,Warframe: Heart of Deimos,"The new Heart of Deimos Quest will see you following Mother, and her loyal (if a little damaged) servants Loid and Otak, into the sinister mystery that surrounds the Infested Moon of Deimos. You must look past Deimos' wormed exterior if you ever hope to understand its secrets, Tenno. Collect the tattered remains of Xaku and unleash its Void power to corrupt and confuse enemies. Infuse your Warframes with new Abilities by utilizing the Helminth System aboard your Orbiter.

Access Heart of Deimos by completing the Mars Junction on your path through the Star Chart!",2020-08-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
146969,223713,Warframe: Initiate Pack,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26310,223714,Warframe: Initiate Pack II,NULL,2022-03-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
163175,198435,Warframe: Octavia's Anthem,NULL,2017-03-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
168641,68335,Warframe: Plains of Eidolon,"The Grineer have organized drilling stations and sprawling outposts throughout the Plains to excavate the technology of the Old War. Take missions from the Ostrons to fight Grineer during the day and clear out their bases, but be fast, as these Grineer will call reinforcements when they spot danger. As you venture deeper into the Plains the Grineer enemies will get progressively stronger, so come prepared.

When night falls on the Plains, towering Spectral Sentients known as Eidolons ascend from the waters and wander in search of all they’ve lost. Small, deadly Sentient drones appear throughout the Plains to protect the Eidolons. Many Grineer will retreat to their camps in fear of the Eidolons and attempt to wait out the night.
Gather your fellow Tenno. You'll need to work together to take down these massive creatures. Only the greatest Eidolon Hunters that combine forces will reign victorious.",2017-10-12 00:00:00.000,5,1,75.0000,1,89.8781,5
191066,200480,Warframe: Rise of the Warlords,NULL,2013-05-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
190404,202147,Warframe: Sanctuary,NULL,2015-03-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
171130,200659,Warframe: Shadows of the Dead,NULL,2013-09-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
